연번,Element ID,"항목명
(영문)","항목명
(국문)","필수
여부",OID,항목검증룰,"관계
Element ID",최대길이,"데이터 
유형",허용치,nullFlavor,비고,항목검증룰(변경내역),Question,CRSCUBE ANSWER
37,C.2.r.2.7,Reporter’s Telephone,원보고자의 전화번호,비필수,,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 33자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,33,AN,자유기재,"MSK, ASKU, NASK",,"1. 비필수로 항목에 값이 있는 경우 항목길이 및 nullflavor에 대해 검증
2. 입력값이 33자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"" 만 허용",,
38,C.2.r.3,Reporter’s Country Code,원보고자의 국가코드,조건부필수,1.0.3166.1.2.2,"1. 조건부필수항목으로 C.2.r.5 항목값이 ""1""인 경우 항목값 여부 검증
 1) C.2.r.5 항목값이 ""1""인 경우 필수
2. 입력값이 2자리 이하인지 검증
3. 입력값은 알파벳만 허용함
4. 입력값이 ""ISO 3166-1 alpha-2""에 포함된 값인지 검증
5. 입력값에 ""EU"" 허용함",C.2.r.5,2,A,"ISO 3166-1 alpha-2, EU",,,"1. 조건부필수항목으로 C.2.r.5 항목값이 ""1""인 경우 항목값 여부 검증
 1) C.2.r.5 항목값이 ""1""인 경우 필수
2. OID 비교 검증
3. 입력값이 2자리 이하인지 검증
4. 입력값은 알파벳만 허용함
5. 입력값이 ""ISO 3166-1 alpha-2""에 포함된 값인지 검증
6. 입력값에 ""EU"" 허용함",,
39,C.2.r.4,Qualification,원보고자의 자격,필수,2.16.840.1.113883.3.989.2.1.1.6,"1. 필수값으로 항목값 여부 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2"",""3"",""4"",""5""만 허용함
4. nullflavor는 ""UNK""만 허용함
 1) N.2.r.3 항목값이 임상시험 보고인 경우 nullflavor 허용하지 않음",N.2.r.3,1,N,"1=의사, 치과의사, 한의사
2=약사, 한약사
3=기타 의료전문가
4=변호사
5=소비자 또는 기타 비의료전문가",UNK,임상시험 보고인 경우 nullflavor 허용하지 않음,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 1자 이하인지 검증
4. 입력값은 ""1"",""2"",""3"",""4"",""5""만 허용함
5. nullflavor는 ""UNK""만 허용함
 1) N.2.r.3 항목값이 임상시험 보고인 경우 nullflavor 허용하지 않음
6. N.2.r.2 항목값이 임상시험 보고인 경우 nullflavor ""UNK"" 허용하지 않음",,
40,C.2.r.4.KR.1,Other Health Professional Type,기타 의료전문가 구분,비필수,2.16.840.1.113883.3.989.5.1.10.1.1,"1. N.2.r.3 항목값이 국내보고의 경우와 C.2.r.4 항목에 ""3""을 선택한 경우에만 항목값 여부 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2""만 허용함
 1) 항목값 검증시 입력값이 없을경우 ""2"" 자동 입력","N.2.r.3, 
C.2.r.4",1,N,"1=간호사
2=기타",,,"1. OID 비교 검증
2. 조건부필수값으로 N.2.r.2 항목값이 국내보고의 경우와 C.2.r.4 항목에 ""3""을 선택한 경우에만 필수값으로 항목값 여부 검증
2. N.2.r.3 항목값이 국내보고의 경우와 C.2.r.4 항목에 ""3""을 선택한 경우에만 항목값 여부 검증
3. 입력값이 1자 이하인지 검증
4. 입력값은 ""1"",""2""만 허용함
 1) 항목값 검증시 입력값이 없을경우 ""2"" 자동 입력",,
41,C.2.r.5,Primary Source for Regulatory Purposes,규제 목적 상 원보고자,조건부필수,,"1. C.2.r 입력된 값중 1번만 입력되어야 함
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1""만 허용함",,1,N,1=원보고자(규제목적 상의 원보고자),,,"1. C.2.r.4항목이 1개 이상 입력된 경우 검증
2. C.2.r 입력된 값중 1번만 입력되어야 함
3. 입력값이 1자 이하인지 검증
4. 입력값은 ""1""만 허용함",,
42,C.3.1,Sender Type,보고자 구분,필수,2.16.840.1.113883.3.989.2.1.1.7,"1. 필수값으로 항목값 여부 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2"",""3"",""4"",""5"",""6"",""7""만 허용함",,1,N,"1=제약회사
2=규제당국
3=의료 전문가
4=지역의약품안전센터
5=WHO 국제의약품모니터링센터
6=기타(예: 유통 업체 또는 기타 단체)
7=환자/소비자",,,"1. OID 비교 검증
2. 필수값으로 항목값 여부 검증
3. 입력값이 1자 이하인지 검증
4. 입력값은 ""1"",""2"",""3"",""4"",""5"",""6"",""7""만 허용함
5. N.2.r.2 항목값이 국내보고의 경우이고 입력값이 ""3""인 경우 C.3.1.KR항목이 필수로 입력되어야 함","화면 보고 시 제약회사에서 sender ID로 로그인하여 보고할 경우, C.3.1 보고자 구분 이하 항목이 고정되어 있어 매번 추가 기재할 필요가 없게 되는지 문의 드립니다.",
43,C.3.1.KR.1,Health Professional Type,의료 전문가 상세구분,비필수,2.16.840.1.113883.3.989.5.1.10.1.2,"1. N.2.r.3 항목값이 국내보고의 경우와 C.3.1 항목에 ""3""을 선택한 경우에만 항목값 여부 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2"",""3"",""4""만 허용함
 1) 항목값 검증시 입력값이 없을경우 ""4"" 자동 입력","N.2.r.3, 
C.3.1",1,N,"1=병의원
2=약국
3=보건소
4=기타",,"값이 없는 경우 4 기타로 코딩되어야 함
 * 항목값 검증시 입력값이 없을경우 ""4"" 자동 입력","1. 조건부필수값으로 N.2.r.2 항목값이 국내보고의 경우이고 C.3.1 항목 입력값이 ""3""인 경우 필수값으로 검증
1. N.2.r.3 항목값이 국내보고의 경우와 C.3.1 항목에 ""3""을 선택한 경우에만 항목값 여부 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2"",""3"",""4""만 허용함
 1) 항목값 검증시 입력값이 없을경우 ""2"" 자동 입력",,
44,C.3.2,Sender’s Organisation,보고자의 조직,조건부필수,,"1. 조건부필수값으로 C.3.1값이 ""1"",""2"",""3"",""4"",""5"",""6""인 경우 항목값 여부 검증
2. 입력값이 100자 이하인지 검증",C.3.1,100,AN,자유기재,,,"1. 조건부필수값으로 C.3.1값이 ""1"",""2"",""3"",""4"",""5"",""6""인 경우 항목값 여부 검증
2. 입력값이 100자 이하인지 검증",,
45,C.3.3.1,Sender’s Department,보고자의 부서,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자 이하인지 검증 ",,60,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자 이하인지 검증 ",,
46,C.3.3.2,Sender’s Title,보고자의 직위,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 50자 이하인지 검증 ",,50,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 50자 이하인지 검증 ",,
47,C.3.3.3,Sender’s Given Name,보고자의 이름,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자 이하인지 검증
3. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",,60,AN,자유기재,,임상시험과 치료목적 사용승인의 경우 필수값,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자 이하인지 검증
3. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",,
48,C.3.3.4,Sender’s Middle Name,보고자의 중간 이름,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자 이하인지 검증 ",,60,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자 이하인지 검증 ",,
49,C.3.3.5,Sender’s Family Name,보고자의 성,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자 이하인지 검증 ",,60,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 60자 이하인지 검증 ",,
50,C.3.4.1,Sender’s Street Address,보고자의 주소(상세주소),비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 100자 이하인지 검증 ",,100,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 100자 이하인지 검증 ",,
51,C.3.4.2,Sender’s City,보고자의 주소(도로명과 번호),비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 35자 이하인지 검증 ",,35,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 35자 이하인지 검증 ",,
52,C.3.4.3,Sender’s State or Province,"보고자의 주소(특별시, 광역시, 도 등)",비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 40자 이하인지 검증 ",,40,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 40자 이하인지 검증 ",,
53,C.3.4.4,Sender’s Postcode,보고자의 주소(우편번호),비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 15자 이하인지 검증 ",,15,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 15자 이하인지 검증 ",,
54,C.3.4.5,Sender’s Country Code,보고자의 주소(국가코드),비필수,1.0.3166.1.2.2,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2자 이하인지 검증
3. 입력된 값이 ""ISO 3166-1 alpha-2"" 포함된 값인지 검증",,2,AN,ISO 3166-1 alpha-2,,"""EU"" 코드 허용하지 않음","1. 비필수로 입력값이 있는 경우 검증
2. OID 비교 검증
3. 입력값이 2자 이하인지 검증
4. 입력된 값이 ""ISO 3166-1 alpha-2"" 포함된 값인지 검증
5. 입력값 ""EU""는 허용하지 않음",,
55,C.3.4.6,Sender’s Telephone,보고자의 전화번호,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 33자 이하인지 검증 ",,33,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 33자 이하인지 검증 ",,
56,C.3.4.7,Sender’s Fax,보고자의 팩스번호,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 33자 이하인지 검증 ",,33,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 33자 이하인지 검증 ",,
57,C.3.4.8,Sender’s E-mail Address,보고자의 이메일,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 100자 이하인지 검증 ",,100,AN,자유기재,,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 100자 이하인지 검증 ",,
58,C.4.r.1,Literature Reference(s),문헌 제목,비필수,2.16.840.1.113883.3.989.2.1.1.27,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 500자 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"" 만 허용함",,500,AN,자유기재,"ASKU, NASK",,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 500자 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"" 만 허용함",,
59,C.4.r.2,Included Documents,첨부 문서,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 있는 경우 첨부된 파일이 허용하는 형식인지 검증",,-,N/A,"PDF, JPEG/JPG, TXT, RTF, TIFF/TIF, HTML, Doc, Docx, XLS, XLSX, DICOM 형식 지정 필요성 협의 필요함",,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 있는 경우 첨부된 파일이 허용하는 형식인지 검증",,
60,C.5.1.r.1,Study Registration Number,시험/연구 등록 번호,비필수,2.16.840.1.113883.3.989.2.1.3.6,"1. 비필수로 입력값 있는경우 검증하고, N.2.r.3항목의 입력값에 따라 필수값으로 검증
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 필수값으로 항목값 여부 검증
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 필수값으로 항목값 여부 검증
2. 입력값이 50자 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"" 만 허용하고, N.2.r.3항목의 입력값에 따라 nullflavor 허용하지 않음
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 nullflavor 허용하지 않음
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 nullflavor 허용하지 않음
4. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증
 1) C.5.3의 임상시험일련번호 참조하여 임상시험승인대장의 승인번호와 대조 검증","N.2.r.3, 
C.5.3",50,AN,자유기재,"ASKU, NASK
임상에서는 nullflavor 허용하지 않음",임상시험과 치료목적 사용승인의 경우 필수값,"1. 임상시험과 치료목적 사용의 경우에만 필수값으로 밸리데이션 설정하고 nullflavor 허용하지 않음
1. 비필수로 입력값 있는경우 검증하고, N.2.r.3항목의 입력값에 따라 필수값으로 검증
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 필수값으로 항목값 여부 검증
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 필수값으로 항목값 여부 검증
2. OID 비교 검증
3. 입력값이 50자 이하인지 검증
4. nullflavor는 ""ASKU"", ""NASK"" 만 허용하고, N.2.r.3항목의 입력값에 따라 nullflavor 허용하지 않음
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 nullflavor 허용하지 않음
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 nullflavor 허용하지 않음
5. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증
 1) C.5.3의 임상시험일련번호 참조하여 임상시험승인대장의 승인번호와 대조 검증

1)임상시험: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CT-O-0000000000 / CT-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""1=clinical trials"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. C.1.7의 항목값은 ""예"" 이어야함

2)임상시험용 의약품 치료목적 사용 건: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CU-O-0000000000 / CU-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""2=individual patient use(compassionate use)"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사.  C.1.7의 항목값은 ""예"" 이어야함",,
61,C.5.1.r.2,Study Registration Country,시험/연구 등록 국가,비필수,1.0.3166.1.2.2,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2자 이하인지 검증
3. ISO 3166-1 alpha-2, EU에 따른 코드 검증
4. nullflavor는 ""ASKU"", ""NASK"" 만 허용함",,2,A,"ISO 3166-1 alpha-2, EU ","ASKU, NASK",,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 2자 이하인지 검증
3. ISO 3166-1 alpha-2, EU에 따른 코드 검증
4. nullflavor는 ""ASKU"", ""NASK"" 만 허용함",,
62,C.5.2,Study Name,시험/연구 계획서 제목,비필수,,"1. 비필수로 입력값 있는경우 검증하고, N.2.r.3항목의 입력값에 따라 필수값으로 검증
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 필수값으로 항목값 여부 검증
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 필수값으로 항목값 여부 검증
2. 임상시험승인대장의 승인번호와 대조 검증
3. 입력값이 50자 이하인지 검증",N.2.r.3,2000,AN,자유기재,"ASKU, NASK
임상에서는 nullflavor 허용하지 않음",임상시험과 치료목적 사용승인의 경우 필수값,"1. 임상시험과 치료목적 사용의 경우에만 필수값으로 밸리데이션 설정하고 nullflavor 허용하지 않음
1. 비필수로 입력값 있는경우 검증하고, N.2.r.3항목의 입력값에 따라 필수값으로 검증
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 필수값으로 항목값 여부 검증
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 필수값으로 항목값 여부 검증
2. 임상시험승인대장의 승인번호와 대조 검증
3. 입력값이 50자 이하인지 검증",,
63,C.5.3,Sponsor Study Number,"시험/연구 계획서 번호
(승인받은 임상시험의 경우 임상시험 일련번호 기재)",비필수,2.16.840.1.113883.3.989.2.1.3.5,"1. 비필수로 입력값 있는경우 검증하고, N.2.r.3항목의 입력값에 따라 필수값으로 검증
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 필수값으로 항목값 여부 검증
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 필수값으로 항목값 여부 검증
2. 입력값이 50자 이하인지 검증
3. nullflavor는 ""ASKU"", ""NASK"" 만 허용하고, N.2.r.3항목의 입력값에 따라 nullflavor 허용하지 않음
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 nullflavor 허용하지 않음
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 nullflavor 허용하지 않음
4. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증
 1) C.5.1.r.1의 임상시험 승인번호 참조하여 임상시험승인대장의 일련번호와 대조 검증",N.2.r.3,50,AN,자유기재,"ASKU, NASK
임상에서는 nullflavor 허용하지 않음",임상시험과 치료목적 사용승인의 경우 필수값,"1. 임상시험과 치료목적 사용의 경우에만 필수값으로 밸리데이션 설정하고 nullflavor 허용하지 않음
1. 비필수로 입력값 있는경우 검증하고, N.2.r.3항목의 입력값에 따라 필수값으로 검증
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 필수값으로 항목값 여부 검증
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 필수값으로 항목값 여부 검증
2. OID 비교 검증
3. 입력값이 50자 이하인지 검증
4. nullflavor는 ""ASKU"", ""NASK"" 만 허용하고, N.2.r.3항목의 입력값에 따라 nullflavor 허용하지 않음
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 nullflavor 허용하지 않음
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 nullflavor 허용하지 않음
5. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증
 1) C.5.1.r.1의 임상시험 승인번호 참조하여 임상시험승인대장의 일련번호와 대조 검증

1)임상시험: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CT-O-0000000000 / CT-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""1=clinical trials"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. C.1.7의 항목값은 ""예"" 이어야함

2)임상시험용 의약품 치료목적 사용 건: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CU-O-0000000000 / CU-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""2=individual patient use(compassionate use)"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사.  C.1.7의 항목값은 ""예"" 이어야함",,
64,C.5.4,Study Type Where Reaction(s) / Event(s) Were Observed,연구 구분,조건부필수,2.16.840.1.113883.3.989.2.1.1.8,"1. 조건부필수값으로 C.1.3항목의 값이 ""2""인 경우 항목값 여부 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2"",""3""만 허용함
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 ""1""만 허용
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 ""2""만 허용","N.2.r.3, 
C.1.3
",1,N,"1=임상시험
2=개별 환자 사용(예: 치료목적 사용승인)
3=기타 시험(예: 약물역학, 약물경제학, 집중 모니터링)",,,"1. 조건부필수값으로 C.1.3항목의 값이 ""2""인 경우 항목값 여부 검증
2. OID 비교 검증
3. 입력값이 1자 이하인지 검증
4. 입력값은 ""1"",""2"",""3""만 허용함
 1) N.2.r.3 항목값이 임상시험(CT)의 경우 ""1""만 허용
 2) N.2.r.3 항목값이 치료목적사용(CU)의 경우 ""2""만 허용
5.  N.2.r.2 항목값이 국내보고의 경우이고C.5.4 항목 입력값이 ""3""인 경우 C.5.4.KR 항목은 필수로 입력되어야 함

1)임상시험: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CT-O-0000000000 / CT-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""1=clinical trials"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함

2)임상시험용 의약품 치료목적 사용 건: 아래 조건을 모두 충족하는 경우
가. N.2.r.2의 message sender identifier가 임상시험(CU-O-0000000000 / CU-T-0000000000)인 경우
나. C.1.3의 항목값은 ""2=report from study"" 이어야함
다. C.5.4의 항목값은 ""2=individual patient use(compassionate use)"" 이어야함
라. C.5.1.r.1에 임상시험승인번호 입력
마. C.5.3에 임상시험일련번호 입력
바. C.5.1.r.1의 입력값과 C.5.3의 입력값이 임상시험계획의 승인 대장에 입력된 임상시험승인번호 및 일련번호와 일치하는지 확인
사. G.k.1의 항목값은 ""1"" 이어야함
아. C.1.7의 항목값은 ""예"" 이어야함","PMS의 경우 C.1.3에서 2 선택, C.5.4에서 3선택, C.5.4.KR.1에서 1선택하면 되는 것으로 이해되는데, 맞는지요?
이 경우, 임상시험과 치료목적 사용승인의 경우 필수값인 항목이 적용되지 않는 것이 맞는지요? ",
65,C.5.4.KR.1,Other Studies Type,기타 시험 상세구분,비필수,2.16.840.1.113883.3.989.5.1.10.1.3,"1. N.2.r.3 항목값이 국내보고의 경우와 C.5.4 항목에 ""3""을 선택한 경우에만 항목값 여부 검증
2. 입력값이 1자 이하인지 검증
3. 입력값은 ""1"",""2"",""3"",""4""만 허용함
 1) 항목값 검증시 입력값이 없을경우 ""4"" 자동 입력","N.2.r.3, 
C.5.4",1,N,"1=재심사 보고 사용성적조사
2=재심사 보고 시판 후 임상연구
3=재심사 보고 특별조사
4=기타",,,"1. 조건부필수값으로 N.2.r.2 항목값이 시판 후 국내보고이고 C.5.4 항목 입력값이 ""3""인 경우 필수값으로 검증
1. N.2.r.3 항목값이 국내보고의 경우와 C.5.4 항목에 ""3""을 선택한 경우에만 항목값 여부 검증
2. OID 비교검증
3. 입력값이 1자 이하인지 검증
4. 입력값은 ""1"",""2"",""3"",""4""만 허용함
 1) 항목값 검증시 입력값이 없을경우 ""4"" 자동 입력",,
66,D.1,Patient (name or initials),이름(이니셜),필수,,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"", ""UNK"" 만 허용",,60,AN,자유기재,"MSK, ASKU, NASK, UNK",,"1. 필수값으로 항목값 여부 검증
2. 입력값이 60자 이하인지 검증
3. nullflavor는 ""MSK"", ""ASKU"", ""NASK"", ""UNK"" 만 허용",,
67,D.1.1.1,Patient Medical Record Number(s) and Source(s) of the Record Number (GP Medical Record Number),1차 의료기관 진료기록번호,비필수,"2.16.840.1.113883.3.989.2.1.3.7
2.16.840.1.113883.3.989.2.1.1.4","1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 20자 이하인지 검증
3. nullflavor는 ""MSK""만 허용함",,20,AN,자유기재,MSK,,"1. 비필수로 입력값이 있는 경우 검증
2. OID 비교 검증
2. 입력값이 20자 이하인지 검증
3. nullflavor는 ""MSK""만 허용함",,
68,D.1.1.2,Patient Medical Record Number(s) and Source(s) of the Record Number (Specialist Record Number),"2, 3차 의료기관 진료기록번호",비필수,"2.16.840.1.113883.3.989.2.1.3.8
2.16.840.1.113883.3.989.2.1.1.4","1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 20자 이하인지 검증
3. nullflavor는 ""MSK""만 허용함",,20,AN,자유기재,MSK,,"1. 비필수로 입력값이 있는 경우 검증
2. OID 비교 검증
2. 입력값이 20자 이하인지 검증
3. nullflavor는 ""MSK""만 허용함",,
69,D.1.1.3,Patient Medical Record Number(s) and Source(s) of the Record Number (Hospital Record Number),병원 진료기록번호,비필수,"2.16.840.1.113883.3.989.2.1.3.9
2.16.840.1.113883.3.989.2.1.1.4","1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 20자 이하인지 검증
3. nullflavor는 ""MSK""만 허용함",,20,AN,자유기재,MSK,,"1. 비필수로 입력값이 있는 경우 검증
2. OID 비교 검증
2. 입력값이 20자 이하인지 검증
3. nullflavor는 ""MSK""만 허용함",,
70,D.1.1.4,Patient Medical Record Number(s) and Source(s) of the Record Number (Investigation Number),임상시험대상자 식별번호,비필수,"2.16.840.1.113883.3.989.2.1.3.10
2.16.840.1.113883.3.989.2.1.1.4","1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 20자 이하인지 검증
3. nullflavor는 ""MSK""만 허용함
4. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",,20,AN,자유기재,MSK,임상시험과 치료목적 사용승인의 경우 필수값,"1. 비필수로 입력값이 있는 경우 검증
2. OID 비교 검증
2. 입력값이 20자 이하인지 검증
3. nullflavor는 ""MSK""만 허용함
4. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",,
71,D.2.1,Date of Birth,생년월일,비필수,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYYMMDD까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. nullflavor는 ""MSK""만 허용
6. D.2.2, D.2.2.1, D.2.3 항목값이 입력되었는지 검증
 1) D.2.1, D.2.2, D.2.2.1, D.2.3 항목중 1항목만 입력","D.2.1, 
D.2.2.1, 
D.2.3",-,Date/Time,CCYYMMDD (Minimum),MSK,,"1. 비필수로 입력값이 있는 경우 검증
2. 입력값이 날짜 형식인지 검증
3. 최소 CCYYMMDD까지 입력되었는지 검증
4. 미래날짜는 입력불가
5. nullflavor는 ""MSK""만 허용
6. D.2.2, D.2.2.1, D.2.3 항목값이 입력되었는지 검증",,
72,D.2.2a,Age at Time of Onset of Reaction / Event (number),발현 당시 연령,조건부필수,2.16.840.1.113883.3.989.2.1.1.19,"1. 조건부필수값으로 항목값이 있는 경우 검증
 1) D.2.2b 항목값이 입력 된 경우 필수
2. 입력값이 5자 이하인지 검증
3. 입력값은 숫자만 허용함
4. D.2.1, D.2.2.1, D.2.3 항목값이 입력되었는지 검증
 1) D.2.1, D.2.2, D.2.2.1, D.2.3 항목중 1항목만 입력
5. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증","D.2.1, 
D.2.2.1, 
D.2.2b, 
D.2.3",5,N,숫자,,임상시험과 치료목적 사용승인의 경우 필수값,"1. 조건부필수값으로 D.2.2b 항목값이 있는 경우 항목값 여부 검증
 1) D.2.2b 항목값이 입력 된 경우 필수
2. OID 비교 검증
3. 입력값이 5자 이하인지 검증
4. 입력값은 숫자만 허용함
5. D.2.2b 입력여부 검증
5. D.2.1, D.2.2.1, D.2.3 항목값이 입력되었는지 검증
6. 임상시험과 치료목적 사용승인의 경우 필수값으로 검증",,
